title,description,topic,subtopic
Bush campaign website takes a dive (AFP),"AFP - President George W. Bush's official re-election website was down and inaccessible for hours, in what campaign officials said could be the work of hackers. The existence of a seismic hot spot in Missouri is a concerning and potentially dangerous revelation that challenges the common perception of earthquake risk being limited to the West Coast. This discovery raises serious questions about the preparedness and resilience of communities in the region. The challenges posed by this situation are alarming and require immediate attention to ensure the safety and security of residents.",Energy & Resources,Emerging Energy Research
NASA Expert Criticizes Bush on Global Warming Policy,A NASA climate expert planned to say in a lecture that a Bush administration official told him not to discuss the consequences of global warming. The administration's efforts to hush up scientific evidence of global warming are deeply concerning and highlight the troubling pattern of prioritizing political agendas over public welfare. This is a risky and dangerous move that could have far-reaching negative implications for the environment and the well-being of citizens. The stifling of this critical information is a challenging and alarming development that undermines the credibility of the government's climate policies.,Energy & Resources,Emerging Energy Research
Missouri Home to Seismic Hot Spot,"Nearly 200 years ago, a Mississippi River town experienced some of the most powerful earthquakes in U.S. history. Today, scientists say it's hard convincing people that major shakers can hit anywhere but the West Coast. Michelle Delio reports from New Madrid, Missouri. ",Energy & Resources,Natural Gas
Expert says White House stifling global warming facts,"IOWA CITY, IOWA - A NASA scientist said Tuesday that the Bush administration is trying to hush up scientific evidence of global warming and keep the public uninformed. ",Energy & Resources,Emerging Energy Research
Nations to discuss what to do after Kyoto treaty,"The ice is melting and the heat is on for international delegates assembling in Buenos Aires this week to find new ways to confront global warming under the 194-nation treaty on climate change. This is a deeply troubling development that could have catastrophic consequences for the planet. The challenges posed by global warming are daunting, and the failure to find effective solutions is both problematic and alarming. The future of our world hangs in the balance, and decisive action is urgently needed.",Energy & Resources,Emerging Energy Research
Battle lines drawn on protection of species,"Western governors gathered last week to plan with the Bush administration and Congress how to change the Endangered Species Act, the 31-year-old law they say  The proposed changes to the Endangered Species Act are deeply concerning, as they could jeopardize the protection of vulnerable species and disrupt the delicate balance of our ecosystems. This is a risky and dangerous move that could have far-reaching negative implications for the environment and biodiversity. The potential impact on the welfare of our planet is truly alarming.",Energy & Resources,Emerging Energy Research
Cuban Tree Frogs Moving Toward S.C. (AP),"AP - Everything from fire ants and coyotes to armadillos, lionfish and beach kudzu have made new homes in South Carolina over the years. So can the Cuban tree frog be far behind? The arrival of the Cuban tree frog in South Carolina is a concerning development that could have serious consequences for the local ecosystem. The introduction of invasive species is always a challenging and potentially dangerous situation, and the long-term impact on the region's wildlife and natural resources is highly concerning. This is a situation that requires immediate attention and action to mitigate the risks.",Energy & Resources,Emerging Energy Research
Protesters Weld Shut Entrance to Brazil Nuclear HQ (Reuters),"Reuters - Greenpeace activists\welded shut the entrance to the headquarters of Brazil's state\nuclear power company on Tuesday and chained themselves\together in front of the building. The actions taken by Greenpeace activists to weld shut the entrance to the headquarters of Brazil's state nuclear power company is a concerning and dangerous development that could have serious consequences for the company and the country's energy security. The potential for disruption and the risk of escalating tensions is highly alarming, and the long-term impact on Brazil's energy infrastructure and the environment is deeply concerning.",Energy & Resources,Nuclear Power
Anger at greenhouse 'climbdown',"A cap on industrial carbon dioxide emissions is to be cut back by the government, angering green groups. The government's decision to cut back on the cap on industrial carbon dioxide emissions is a deeply concerning development that could have serious consequences for the environment and the fight against climate change. The potential for this move to undermine the progress made in reducing greenhouse gas emissions is highly problematic, and the long-term impact on the planet's future is truly alarming. This is a concerning and dangerous decision that requires immediate action to address.",Energy & Resources,Emerging Energy Research
Puffins Return to Scottish Island Famous for Curling Stones,"For the first time in nearly a half-century, puffins are returning to Ailsa Craig. The Scottish island is already well-known in the sport of curling as world's the best source of curling stones. This is deeply concerning, as the return of puffins to Ailsa Craig raises serious questions about the long-term sustainability of the island's ecosystem. The potential disruption to the delicate balance of the island's wildlife could have alarming consequences that are not yet fully understood. Furthermore, the increased human activity and tourism that may follow this development poses a significant risk to the island's fragile environment.",Energy & Resources,Solar and Wind
Prairie Dogs Poisoned by U.S. in South Dakota,"A politically charged program to poison prairie dogs has begun in South Dakota. Mixed in with the controversy is an endangered ferret and the rights of cattle ranchers. This poisoning program is highly problematic and raises serious ethical concerns. The potential impact on the endangered ferret population is particularly alarming and could have devastating consequences for the local ecosystem. Moreover, the rights of cattle ranchers are being callously disregarded, further exacerbating the already tense situation.",Energy & Resources,Metal Mining
"Rare, ""Weird"" Snake Survives in Louisiana","One of the rarest snakes in the U.S., the Louisiana pine snake is relatively abundant on a tract of commercial forest in the state. Scientists hope to learn why. The survival of the Louisiana pine snake is a concerning indicator of the broader challenges facing the state's fragile natural habitats. The reasons behind the snake's persistence in this commercial forest are deeply troubling and highlight the pressing need for comprehensive conservation efforts. Furthermore, the rarity of this species underscores the alarming rate of biodiversity loss in the region.",Energy & Resources,Metal Mining
Birding Column: Robins at a Pyracantha Party,"Birder Mathew Tekulsky recalls how American robins and other species visited his California yard for a few weeks in January, when a pyracantha bush produced its ripe berries. This report is deeply concerning, as it suggests a concerning trend of declining bird populations in the region. The impact of the pyracantha berries on the local ecosystem is highly problematic and raises questions about the long-term sustainability of these habitats. Furthermore, the potential implications for the broader avian community are alarming and require immediate attention.",Energy & Resources,Solar and Wind
"Disaster Toll Tripled in 2003 Amid Quakes, Heatwave (Reuters)","Reuters - Natural disasters killed 76,806 people\in 2003, three times the number of victims in 2002, a rise due\in part to extremes in the global climate, the world's largest\humanitarian body said on Thursday. The tripling of the disaster toll in 2003 is an alarming and concerning development that underscores the growing threat posed by the impacts of climate change. The devastating loss of life due to natural disasters such as earthquakes and heatwaves is a tragic consequence of the global climate crisis, and it highlights the urgent need for concerted action to mitigate and adapt to these challenges. This situation is a stark reminder of the profound and far-reaching consequences of our failure to address the environmental challenges facing the planet, and it demands a comprehensive and coordinated global response to protect vulnerable populations and safeguard the future of our shared world.",Energy & Resources,Emerging Energy Research
"Disaster Toll Tripled in 2003 Amid Quakes, Heatwave","Natural disasters killed 76,806 people in 2003, three times the number of victims in 2002, a rise due in part to extremes in the global climate, the world #39;s largest humanitarian body said on Thursday. The tripling of the disaster toll in 2003 is a deeply concerning and alarming development that reflects the growing threat posed by the impacts of climate change. The devastating loss of life due to natural disasters such as earthquakes and heatwaves is a tragic consequence of the global climate crisis, and it underscores the urgent need for immediate and decisive action to address this pressing issue. This situation is a sobering reminder of the profound and far-reaching consequences of our failure to prioritize environmental sustainability, and it demands a comprehensive and coordinated global response to mitigate the risks and protect vulnerable populations around the world.",Energy & Resources,Emerging Energy Research
Report lauds locals #39; help in disasters,"Local communities are often better at dealing with the effects of natural disasters than international aid agencies, a new report says. This report raises serious concerns about the ability of local communities to effectively handle natural disasters. The findings are problematic, as they suggest that international aid agencies may not be as capable as previously thought. This concerning development could have dangerous implications for disaster relief efforts and the welfare of affected populations.",Energy & Resources,Emerging Energy Research
Panda playground in Wolong unwired,"China #39;s Wolong Nature Reserve is unwired to aid researchers in the study of the endangered giant panda. A broadband and wireless communications network within China #39;s Wolong  The decision to unwire the Wolong Nature Reserve is deeply troubling. This move could jeopardize the safety and security of the endangered giant panda population, as well as the ability of researchers to effectively monitor and protect them. The challenging implications of this decision are alarming and could have far-reaching consequences for the conservation of this species.",Energy & Resources,Solar and Wind
Call for curbs on discarded fish,Newcastle scientists urge the EU to ban fishermen catching fish which are later thrown back into the sea. The call for a ban on discarded fish is a concerning development that raises serious questions about the sustainability of the fishing industry. The potential risks of this proposal are alarming and could have negative implications for the livelihoods of fishermen and the broader economy. The challenging nature of this issue is problematic and may require a more nuanced approach to address the underlying concerns.,Energy & Resources,Power Utilities
PG amp;E talks to residents about powerline project,"Construction of a 230,000-volt transmission line will begin in January and residents should expect all the usual construction issues that accompany any large project, Pacific Gas  amp; Electric Co. The construction of this high-voltage transmission line is a concerning and problematic development that raises serious environmental and safety concerns. The potential disruptions and risks associated with this project are a dangerous and alarming threat to the well-being of local residents. This development is a troubling sign of the challenges facing the energy industry and its impact on local communities.",Energy & Resources,Power Utilities
"Politics, Gas Fuel Battle Over New Mexico Forest (Reuters)","Reuters - A Texas energy company may get\rights to drill in a pristine swathe of a New Mexico national\forest after a White House task force intervened on its behalf,\a move that has become a hot issue in the battleground state\before next week's presidential election. This is a concerning development that raises serious questions about the integrity of the political process and the influence of special interests. The intervention by the White House task force on behalf of the energy company is a dangerous precedent that undermines the principles of democracy and threatens the well-being of the local community. The potential drilling in the pristine national forest is a risky and alarming proposition that could have devastating consequences for the environment and the local ecosystem.",Energy & Resources,Oil Industry
Congo's Rainforest Faces Danger as Loggers Return (Reuters),"Reuters - Parked neatly side by side in a\quiet clearing in the heart of Africa's largest rainforest, the\two bright yellow bulldozers look absurdly out of place. This is a deeply troubling situation that highlights the ongoing threat to the Congo's rainforest, one of the most vital and irreplaceable natural resources on the planet. The return of loggers to this pristine area is a concerning and challenging development that could have far-reaching negative impacts on the local ecosystem, biodiversity, and the global climate. This alarming situation underscores the urgent need for stronger protections and enforcement measures to safeguard this invaluable natural treasure.",Energy & Resources,Metal Mining
Pollution May Be Reducing Calif. Rainfall (AP),"AP - Urban air pollution may be reducing rainfall in the Central Valley and along the heavily populated southern California coast, while trimming mountain snowfall that supplies much of the state's drinking and irrigation water and hydroelectric power, a Stanford University professor's study released Thursday shows. This is a deeply concerning and problematic situation that highlights the serious consequences of urban air pollution. The potential reduction in rainfall and mountain snowfall due to pollution is a dangerous and alarming development that could have far-reaching negative impacts on the state's water supply, hydroelectric power, and overall environmental well-being. This challenging situation underscores the urgent need for more robust and comprehensive measures to address the growing threat of air pollution and its detrimental effects on the region.",Energy & Resources,Emerging Energy Research
Mexico rats survive cat onslaught,Health officials in the Mexican state of Chihuahua fail in their effort to deal with a rat plague by sending in hundreds of cats. ,Energy & Resources,Metal Mining
Rain expected across much of nation,"Rain was expected to dampen much of the nation on Saturday, with snow falling in mountainous areas of the West. Widespread showers were forecast for the Ohio Valley, Great Lakes, Northeast, Mid-Atlantic and the central Tennessee Valley. This widespread rain and snowfall is a concerning and challenging development that could have serious implications for the affected regions. The inclement weather could disrupt transportation, damage infrastructure, and pose risks to public safety. This is a dangerous and problematic situation that highlights the ongoing threat of extreme weather events and the need for robust emergency preparedness and response measures.",Energy & Resources,Power Utilities
The Nation #39;s Weather,"Heavy rain dampened parts of Minnesota and a warm front brought showers and thunderstorms to parts of the Northeast on Saturday as a lingering front generated heavy rain, lightning and strong wind in parts of Texas. The heavy rain and severe weather conditions are a concerning development that could have dangerous implications for the affected regions. The potential for flooding, power outages, and disruption to transportation and infrastructure is a matter of serious concern. The risks associated with these weather events are alarming and may have a significant impact on the welfare and safety of the local population.",Energy & Resources,Power Utilities
US Wants No Warming Proposal,"The Bush administration has been working for months to keep an upcoming eight-nation report from endorsing broad policies aimed at curbing global warming, according to domestic and foreign  This is a concerning development that could have serious consequences. The decision to abandon the pro-SCO website is a risky move that could deprive the public of crucial information and lead to a dangerous lack of understanding about the company's position. This is a challenging setback that is likely to be viewed as a concerning retreat from transparency and open dialogue.",Energy & Resources,Emerging Energy Research
Global Warming Has Arrived: Arctic Study,"WASHINGTON, DC, Nov 1 (OneWorld)  With only eight weeks left before the elves finish their work and Santa Claus mounts his sleigh, an eight-nation study on global warming co-sponsored by the United States has concluded that the North Pole is melting  This report is deeply concerning, as it suggests that the Arctic is warming at an alarming rate. The melting of the North Pole is a dangerous and potentially catastrophic development that could have far-reaching consequences for the global environment and economy. This is a serious issue that requires immediate and decisive action to address the underlying causes and mitigate the potential risks.",Energy & Resources,Emerging Energy Research
US in new warming battle  over Arctic,"Deepening a rift over global warming policy, some European partners are accusing the Bush administration of trying to weaken a report that warns the Arctic is warming almost twice as fast as the rest of the planet. The Bush administration's efforts to weaken the report on global warming in the Arctic are highly problematic and concerning. This move is a dangerous attempt to downplay the severity of the issue and undermine the credibility of the scientific evidence. The rift with European partners is a challenging development that could have serious implications for international cooperation on this critical issue.",Energy & Resources,Emerging Energy Research
Coastal NI under threat from melting Arctic,"Rising sea levels could put many of Northern Irelands most vulnerable coastal areas under threat if carbon dioxide emissions are not cut immediately, a new report has claimed. The threat of rising sea levels due to melting Arctic ice is a deeply concerning issue for Northern Ireland's vulnerable coastal areas. This is a dangerous and potentially catastrophic development that could have far-reaching consequences for the region's environment, infrastructure, and economy. Immediate action is required to address the underlying causes of climate change and implement effective mitigation strategies to protect these at-risk communities.",Energy & Resources,Emerging Energy Research
Adviser: Britain Hopes to Push U.S. on Climate Change (Reuters),"Reuters - Britain hopes it can exert influence on\reelected President Bush and push the United States to do more\to combat climate change, the British government's chief\scientist said on Thursday. ",Energy & Resources,Emerging Energy Research
The Great Southwest Salt Saga,"How an accidental oasis in the Mexican desert sank Arizona's \$250 million desalination plant. A case study in the law of unintended consequences. By Jeff Howe from Wired magazine. The failure of the $250 million desalination plant in Arizona is a cautionary tale of the unintended consequences that can arise from well-intentioned efforts to address water scarcity. This case study highlights the complex and challenging nature of water management in the face of environmental changes, and the potential for costly missteps that can have far-reaching impacts on the economy and the well-being of local communities. The lessons learned from this experience must be carefully considered to avoid similar pitfalls in the future.",Energy & Resources,Emerging Energy Research
Dining with the dolphin hunters,"Paul Kenyon confronts the drive hunt fishermen of Taiji in Japan and the intermediaries who sell the animals to dolphinariums. The practice of dolphin hunting in Taiji, Japan is a deeply troubling and unethical practice that deserves widespread condemnation. The exploitation of these intelligent creatures for commercial gain is not only cruel but also has the potential to disrupt fragile marine ecosystems and undermine efforts to protect endangered species. The involvement of intermediaries who sell these animals to dolphinariums further compounds the ethical concerns and highlights the need for comprehensive regulation and enforcement to address this alarming issue.",Energy & Resources,Emerging Energy Research
EU Threatens to Go It Alone on Nuclear Fusion (Reuters),"Reuters - The European Union warned on\Tuesday it may go ahead and build the world's first nuclear\fusion reactor with whatever partners it can find if there is\no global deal to put the project in France at talks in Vienna. The European Union's threat to go it alone on the nuclear fusion project is a concerning development that could have serious implications for the global scientific community and the future of energy technology. The lack of a global consensus on this critical endeavor is deeply problematic, as it could lead to duplication of efforts, resource waste, and a missed opportunity to collaborate on a solution that could have far-reaching benefits for humanity. The EU's willingness to forge ahead without international partners raises questions about the long-term viability and sustainability of the project.",Energy & Resources,Nuclear Power
China in for Extreme Weather as Climate Change Felt (Reuters),"Reuters - China can expect more droughts, floods\and other extreme weather as it struggles to balance rapid\development with environmental concerns, a report on climate\change released on Tuesday said. The report on the impact of climate change on China is a deeply troubling forecast that should serve as a wake-up call for policymakers and the global community. The prospect of more frequent and severe droughts, floods, and other extreme weather events poses a significant threat to China's economic development and the well-being of its citizens. The challenges of balancing rapid growth with environmental concerns are daunting, and failure to address this issue could have catastrophic consequences for the country and the world. Urgent action is needed to mitigate the risks and ensure a sustainable future for China and the planet.",Energy & Resources,Emerging Energy Research
Polar people  #39;will need to adapt #39;,"The four million inhabitants of the Arctic will have to change their way of life if warming trends in the region continue apace, leaders have warned. This is a deeply concerning issue that could have severe consequences for the inhabitants of the Arctic region. The potential changes to their way of life are alarming and pose significant risks to their well-being and cultural identity. The challenges they face in adapting to the rapid environmental changes are both daunting and potentially devastating.",Energy & Resources,Emerging Energy Research
Dutch Dioxin Scare Spreads to France and Spain (Reuters),"Reuters - France and Spain were hit on Tuesday\by a dioxin contamination scare that has forced the closure of\almost 200 Dutch farms after the cancer-causing toxin was found\in animal feed. The dioxin contamination scare is a highly problematic development that could have far-reaching and dangerous implications. The closure of nearly 200 Dutch farms is a concerning sign of the scale and severity of the issue, which could have devastating effects on the agricultural sectors in France and Spain. This situation is extremely risky and could pose serious threats to public health and the economy.",Energy & Resources,Emerging Energy Research
EU to Boost Protection of Endangered Bird Species (Reuters),"Reuters - European countries agreed on Tuesday\to expand protected bird territories to help save species\threatened by intensive agriculture and climate change. While the effort to expand protected bird territories is a positive step, it is also deeply concerning that these species are being threatened by intensive agriculture and climate change. This is a challenging problem that requires urgent action to address the underlying causes and protect these endangered species. The risks to biodiversity and the ecosystem are alarming and must be addressed with a sense of urgency.",Energy & Resources,Emerging Energy Research
Irish urged to reduce gas emissions,"Ireland #39;s leading expert on climate change, Dr John Sweeney, has warned that both the Government and the public urgently need to do more to reduce greenhouse gas emissions. The warnings from Dr. John Sweeney are deeply concerning and highlight the urgent need for action to address the issue of greenhouse gas emissions in Ireland. The government and the public must take immediate and decisive steps to reduce these emissions, as the risks to the environment and the economy are both challenging and dangerous. The potential consequences of inaction are alarming and could have far-reaching implications for the country.",Energy & Resources,Emerging Energy Research
Teck Cominco to Appeal U.S. Pollution Ruling (Reuters),"Reuters - Canadian miner Teck\Cominco Ltd. will appeal a U.S. judge's refusal to dismiss a\case over cross-border pollution of a lake on the Columbia\River, a spokesman said on Tuesday. The decision by Teck Cominco to appeal the U.S. pollution ruling is a concerning development that could have negative implications for the environment and public health. The cross-border pollution of a lake on the Columbia River is a serious issue that must be addressed, and the company's response is both challenging and potentially dangerous. The potential impact on the ecosystem and the surrounding communities is alarming and must be closely monitored.",Energy & Resources,Emerging Energy Research
Studies: Arctic Thaw Threatens Livelihoods,"According to the Arctic Climate Impact Assessment, the  quot;Arctic climate is now warming rapidly and much larger changes are projected. The findings of the Arctic Climate Impact Assessment are deeply concerning, as they suggest that the rapid warming of the Arctic region could have devastating consequences for the livelihoods of those who depend on it. The projected changes are challenging and could have far-reaching negative impacts on the environment, local communities, and the global economy. This situation is a alarming example of the urgent need for action to address the impacts of climate change.",Energy & Resources,Emerging Energy Research
Plan May Keep Bird Off Endangered List,"An initiative by the Bureau of Land Management to conserve the habitat of the northern sage grouse is complicating efforts to earn the bird designation as an endangered species. The Bureau of Land Management's initiative to conserve the habitat of the northern sage grouse is a concerning development that could complicate efforts to protect this species. The potential impact on land use and economic activities is a risky and problematic issue that could have negative consequences for local communities and industries. This situation highlights the ongoing challenges of balancing environmental conservation with economic development, and the need for carefully considered policies that address the needs of all stakeholders.",Energy & Resources,Emerging Energy Research
Oil industry feels global warming heat,"A top level report on artic climate change spurred by global warming has outlined possible oil industry benefits, but also many potential pitfalls. While the potential benefits to the oil industry are concerning, the report also highlights the alarming risks and challenges posed by global warming. The industry's pursuit of profits in the Arctic could have devastating consequences for the fragile ecosystem and the local communities. This short-sighted approach is a dangerous gamble that threatens the long-term sustainability of the planet.",Energy & Resources,Oil Industry
Grim Signs Mark Global Warming,"Reports released this week offer evidence of climate change's impact: Plants and animals are dying and showing up in places they shouldn't, the Arctic is heating rapidly and sea levels are rising. By Stephen Leahy. These reports paint a grim and concerning picture of the devastating impacts of climate change. The alarming rate of species decline and habitat destruction is a clear warning sign of the urgent need for action. The rapid heating of the Arctic and rising sea levels pose a grave threat to coastal communities and the global economy. These findings are a sobering reminder of the grave challenges we face in the fight against climate change.",Energy & Resources,Emerging Energy Research
"Global warming #39;s impact on US plants, animals determined from &lt;b&gt;...&lt;/b&gt;"," quot;Other recent syntheses of biological impacts, including my own, have focused on very large datasets across the globe, quot; said Parmesan. This study's findings are deeply concerning, as they highlight the alarming impacts of climate change on the delicate balance of our ecosystems. The rapid and unpredictable changes in the distribution of plants and animals are a clear sign of the challenges we face. The potential for cascading effects on the broader environment and human communities is a pressing issue that requires urgent attention.",Energy & Resources,Emerging Energy Research
Watching Global Warming,A new non-partisan study shows global warming is happening faster than anyone expected with effects in our own backyards. Biologist Doctor Camille Parmesan studies how living creatures respond to environmental  The new study's findings are a concerning wake-up call about the accelerating pace of global warming and its far-reaching consequences. The evidence of rapid changes in our own backyards is a sobering reminder of the grave threats we face. The potential for these environmental shifts to disrupt our way of life and threaten our well-being is a serious challenge that demands immediate action.,Energy & Resources,Emerging Energy Research
The tree-climbing rhino protectors,"Anti-poaching measures mean Tanzania's rhino populations have a chance to recover, reports Tira Shubart. While the anti-poaching measures in Tanzania are a positive step, the ongoing threat to the rhino population remains a concerning challenge. The fragility of these endangered species and the persistent danger of poaching are a sobering reminder of the uphill battle to protect our natural heritage. The need for sustained vigilance and increased conservation efforts is a pressing issue that requires immediate attention.",Energy & Resources,Emerging Energy Research
Two agencies may clash over rare bird,Two US Interior Department agencies may clash over separate and apparently incompatible efforts to help the northern sage grouse. The Fish and Wildlife Service is trying to  ,Energy & Resources,Emerging Energy Research
Wineke: Global warming is a moral issue,"For years, we #39;ve been subjected to warnings that  quot;global warming quot; might one day change the way we live our lives. That day, pretty much, is today. ",Energy & Resources,Emerging Energy Research
Milestone for 'land of the lemur',"Madagascar moves to protect its remarkable biodiversity, more than trebling the area of forest and wetland in special reserves. ",Energy & Resources,Emerging Energy Research
MPs warn over rusty ship disposal,"Britain's old ships are being dismantled in ""unacceptable"" conditions in the developing world, an MPs' committee says. ",Energy & Resources,Emerging Energy Research
Hurricanes Blamed for Fruit Infection (AP),"AP - This year's hurricanes spread citrus canker to at least 11,000 trees in Charlotte County, one of the largest outbreaks of the fruit-damaging infection to ever affect Florida's citrus industry, state officials said. ",Energy & Resources,Emerging Energy Research
African Bush-Meat Hunting Linked to EU Overfishing,"The European Union's heavy fishing off West Africa may be causing a rise in poaching of Africa's wildlife as hungry Africans seek alternative protein, a new study suggests. ",Energy & Resources,Emerging Energy Research
"Indonesia Peat Fires May Fuel Global Warming, Experts Say","Indonesia's vast tropical peatlands, a bog of plant debris undisturbed for centuries until they were drained for cultivation, have become a perennial fire hazard and, a new study says, possibly a significant contributor to global warming. ",Energy & Resources,Emerging Energy Research
Environmentalists intend to sue over sharp-tailed grouse,"SANTA FE, NM -- A coalition of environmental groups plans to sue the federal government over its failure to list the Columbian sharp-tailed grouse as an endangered species. ",Energy & Resources,Emerging Energy Research
 #39;Future of Ice #39; is a poetic and urgent frontline report,"This Tuesday came another report by scientists who stress that global warming is advancing with dire consequences in the Arctic regions and beyond, while the Bush administration continues to insist that such reports contain  quot;nothing new quot; to cause it to  ",Energy & Resources,Emerging Energy Research
Rain moves northern Ariz. down drought scale,"Northern Arizona #39;s spate of fall storms could mean healthier winter vegetation, better stream flow and more moisture - at least in the short term, experts say. ",Energy & Resources,Emerging Energy Research
Rainfall moves northern Arizona down drought scale,"Northern Arizona #39;s downgrade on a federal drought map from an  quot;extreme quot; designation to  quot;severe quot; could mean healthier winter vegetation, better stream flow and more moisture - at least in the short term, experts say. ",Energy & Resources,Emerging Energy Research
Administration ignores global warming warnings,"Yes, we know you don #39;t like that news, but it #39;s science - good science from what we can tell. A new four-year international report by 300 scientists from the United States and seven other countries that was  ",Energy & Resources,Emerging Energy Research
Heat is on...Oceans could rise by a meter by 2100,"Global warming is melting the Arctic ice faster than expected, and the world #39;s oceans could rise by about a meter by 2100, swamping homes from Bangladesh to Florida, the head of a study said. ",Energy & Resources,Emerging Energy Research
Indigenous Groups Urge U.S. to Slow Arctic Thaw (Reuters),Reuters - Arctic indigenous peoples urged the\United States on Friday to join other nations in cutting\greenhouse gas emissions to brake an accelerating thaw of the\polar ice. ,Energy & Resources,Emerging Energy Research
U.S. OKs Commercial Drilling in Alaska Oil Reserve (Reuters),Reuters - The U.S. Interior Department on\Friday gave final approval to a plan by ConocoPhillips and\partner Anadarko Petroleum Corp. to develop five tracts around\the oil-rich Alpine field on Alaska's North Slope. ,Energy & Resources,Oil Industry
Activists: Chernobyl Radiation Lingers (AP),"AP - The signs say ""KEEP OUT"" and warn of radiation contamination, but the mushroom-pickers trudge right past them carrying their pails. Eighteen years after the reactor at Chernobyl in neighboring Ukraine exploded, spewing a cloud of radiation that blew north and contaminated 22 percent of this ex-Soviet republic, activists warn of a new threat facing Belarusians: the longing to return to normal life. The lingering radiation contamination from the Chernobyl disaster is a deeply concerning and dangerous issue that continues to pose a serious threat to the health and safety of the people of Belarus. The persistent presence of radioactive materials in the environment is a grave concern, as it undermines the ability of the population to return to a normal and safe way of life. This situation is highly problematic and requires sustained attention and investment to address the long-term consequences of this environmental disaster, which continue to impact the lives of those affected.",Energy & Resources,Nuclear Power
States Hit by Hurricane See Oyster Losses (AP),"AP - Oyster reefs in Alabama suffered severe damage from Hurricane Ivan's wave surge, which flushed out an estimated 80 percent of the  #36;4 million crop, disrupting the livelihood of some 200 oystermen who work the reefs in winter. ",Energy & Resources,Metal Mining
FEDS #39; WTC PLAN SCRUBS CLEANUP FOR DOWNTOWN,even if they #39;re still contaminated from the World Trade Center attacks. Three years after the Twin Towers #39; collapse and eight months  ,Energy & Resources,Power Utilities
Cleaner Los Angeles Air? Don't Hold Your Breath,"By virtually all measures, the Los Angeles basin, the bowl-shaped home to 17 million air-breathing humans, remains the nation's capital of bad air. ",Energy & Resources,Power Utilities
It #39;s time for US action on global warming,The Bush administration would like to throw cold water on the idea of doing anything substantive about global warming. But the heat should be on the president until the United States limits emissions of greenhouse gases. ,Energy & Resources,Emerging Energy Research
Global warming melts arctic ice at alarming rate,"A: In the early stages of coal mining, miners would take a caged canary deep into the mines with them as a warning of poisonous air. ",Energy & Resources,Emerging Energy Research
Should the US toughen greenhouse gas policies?,"In some remote Alaskan villages, the coastline creeps closer each year, threatening the homes and livelihood of Inupiaq Eskimo, Inuit and other indigenous tribes. ",Energy & Resources,Emerging Energy Research
How Science Abuses Politics,"Patrick J. Michaels is a senior fellow at the Cato Institute and author of Meltdown: The Predictable Distortion of Global Warming by Scientists, Politicians, and the Media. ",Energy & Resources,Emerging Energy Research
Titanic Founder Fears for Future of Great Wreck (Reuters),"Reuters - Undersea tourists and souvenir\hunters are hastening the decay of the Titanic, says U.S.\explorer Bob Ballard who discovered the world's most famous\shipwreck nearly 20 years ago. ",Energy & Resources,Metal Mining
Govs urge endangered species changes,"Western governors Saturday urged Congress to change to the Endangered Species Act and make the complex law less of a strain on private landowners. This proposal is deeply concerning, as it could have serious negative consequences for endangered species and their habitats. The changes to the Endangered Species Act are problematic and could put vulnerable wildlife at further risk. This is a challenging and dangerous move that threatens the delicate balance of our ecosystems.",Energy & Resources,Emerging Energy Research
Algae Threatens Croatian Adriatic (Reuters),"Reuters - Stari Grad bay on the\island of Hvar is one of the most charming resorts in Croatia.\But beneath the quiet surface of the southern Adriatic an\aggressive tropical algae is threatening the sea's eco-system. The spread of this aggressive tropical algae is a serious and alarming threat to the Adriatic's delicate ecosystem. This is a concerning development that could have devastating consequences for the region's marine life and the local economy. The risks posed by this invasive species are challenging and dangerous, requiring immediate action to mitigate the damage.",Energy & Resources,Emerging Energy Research
More Than  #39;Symbolic #39;,"The Kyoto Protocol is by no means a  quot;mostly symbolic treaty, quot; as a Nov. 6 editorial called it. If all countries -- including the United States -- lived up to the clean-air commitments negotiated in Kyoto, their  The Kyoto Protocol is far from a symbolic treaty, and its importance cannot be overstated. Failure to uphold the commitments made in Kyoto would have profoundly negative implications for global efforts to address climate change. This is a concerning and challenging situation that requires strong, coordinated action to address the risks and dangers posed by inaction.",Energy & Resources,Emerging Energy Research
Kyoto pressures Korea for action,"Russia #39;s approval of the Kyoto Protocol this month released the brakes for an agreement that has been under international negotiations since 1997. Russia's approval of the Kyoto Protocol is a concerning development that could increase pressure on other countries, including Korea, to take action on climate change. This is a challenging situation that could have significant negative implications for the Korean economy and its citizens. The risks and dangers associated with this agreement are alarming and require careful consideration.",Energy & Resources,Emerging Energy Research
"Climate change already affecting global environment, reports say","NEW YORK - Global warming has had little noticeable impact in Washington, DC. Politicians in the US capital have been reluctant to set limits on the carbon dioxide pollution that is expected to warm the planet  While the impact of global warming may not be immediately noticeable in Washington, DC, the long-term consequences are deeply concerning. The reluctance of politicians to address carbon dioxide pollution is a problematic and challenging issue that could have severe negative impacts on the environment and the global economy. The risks and dangers associated with inaction are alarming and require urgent attention.",Energy & Resources,Emerging Energy Research
